timestamp,actual_TCP_force_0,actual_TCP_force_1,actual_TCP_force_2,actual_TCP_force_3,actual_TCP_force_4,actual_TCP_force_5
4998.019000,-0.241185,-0.125033,-0.025837,-0.006007,0.003871,0.014715
4998.021000,0.212804,-0.080777,-0.096621,-0.009831,0.008966,0.004036
4998.023000,0.050449,0.046207,-0.030553,-0.011615,0.002620,0.008106
4998.025000,-0.510370,0.028378,0.080235,-0.005889,-0.003926,0.015040
4998.027000,0.060060,-0.156657,0.048243,-0.005090,0.006493,0.008604
4998.029000,-0.208472,-0.036800,-0.073832,-0.008404,0.001725,0.008197
4998.031000,-0.263476,-0.074945,0.055702,-0.004078,-0.001719,0.015149
4998.033000,0.472696,-0.232583,-0.190223,-0.004302,0.014888,-0.000870
4998.035000,0.113052,-0.111987,-0.057560,-0.007474,0.007629,0.003351
4998.037000,0.525499,-0.165743,-0.102125,-0.006430,0.018208,0.000099
4998.039000,0.149084,-0.063906,-0.075758,-0.009123,0.006475,0.007534
4998.041000,0.112091,-0.084250,0.098144,-0.008110,0.004020,0.006741
4998.043000,-0.074000,-0.226004,-0.123469,-0.006063,0.002599,0.006081
4998.045000,0.009802,-0.132813,0.052070,-0.007392,0.003813,0.003145
4998.047000,0.079940,-0.004971,0.011784,-0.009965,0.006461,-0.000038
4998.049000,-0.048584,0.002639,0.055223,-0.010400,0.000987,0.001687
4998.051000,-0.148055,-0.098267,0.167938,-0.004272,0.002808,0.012001
4998.055000,-0.115828,-0.209451,0.014801,-0.002876,0.002556,0.010153
4998.057000,0.166464,-0.086770,-0.124219,-0.007534,0.009134,0.002643
4998.059000,0.063067,-0.062455,-0.068684,-0.006793,0.005351,0.009144
4998.061000,-0.195900,0.029001,-0.000207,-0.007325,0.003418,0.010685
4998.063000,-0.070931,-0.248305,0.032777,-0.000681,0.005094,0.007884
4998.065000,0.057215,-0.053070,-0.011557,-0.011123,0.009037,0.005711
4998.067000,-0.227366,-0.142038,0.020781,-0.004838,0.003162,0.008143
4998.069000,-0.469219,-0.192032,0.218868,-0.002353,-0.006796,0.014079
4998.071000,0.175113,-0.057381,-0.066687,-0.008340,0.009060,0.007955
4998.073000,-0.043987,-0.173663,-0.067405,-0.001092,0.003167,0.005025
4998.075000,-0.173886,0.000275,-0.017227,-0.008292,0.002036,0.008493
4998.077000,0.114325,-0.199135,-0.055453,-0.005052,0.006919,0.006632
4998.079000,0.288566,-0.087830,-0.067811,-0.009211,0.006881,-0.002660
4998.081000,-0.226851,-0.008912,0.024675,-0.009537,-0.001429,0.005520
4998.083000,0.186744,-0.128457,-0.085507,-0.003763,0.009097,0.005036
4998.085000,-0.015465,-0.236707,-0.013392,-0.004222,0.004504,0.004677
4998.087000,-0.014947,-0.197125,-0.078669,-0.005149,0.004306,0.001638
4998.089000,-0.085522,-0.254270,0.133228,0.000425,0.002907,0.006763
4998.091000,0.024551,-0.094043,-0.132434,-0.007405,0.004024,0.003525
4998.093000,0.148481,-0.114208,-0.049505,-0.004762,0.004681,0.001505
4998.095000,0.106081,-0.180225,-0.072536,-0.004008,0.007166,0.004414
4998.097000,-0.156286,-0.301292,0.086801,-0.000524,0.003524,0.010245
4998.099000,-0.015694,-0.065843,0.020540,-0.007495,0.002840,0.006387
4998.101000,-0.340631,-0.149862,0.134690,-0.001519,-0.003129,0.009475
4998.103000,-0.370721,-0.021023,-0.030906,-0.005975,0.000540,0.017156
4998.105000,-0.261126,-0.247592,0.193883,0.002302,-0.000778,0.012520
4998.107000,0.235316,0.066312,-0.221074,-0.014212,0.005155,-0.003216
4998.109000,0.205922,-0.088032,-0.070729,-0.006036,0.007497,0.007452
4998.111000,0.282571,-0.179079,-0.074077,-0.003948,0.009744,0.003260
4998.113000,0.459340,-0.340668,-0.021127,0.000251,0.010246,-0.000901
4998.115000,-0.326468,0.136629,-0.071292,-0.008281,-0.000953,0.014947
4998.117000,0.191733,-0.128943,-0.144766,-0.005326,0.007525,0.003782
4998.119000,0.120510,-0.113082,-0.102111,-0.008542,0.006100,0.005344
4998.121000,-0.064321,-0.117193,0.073608,-0.004615,0.003123,0.008078
4998.123000,0.096218,-0.178344,-0.062487,-0.003506,0.005324,0.006490
4998.125000,-0.233365,-0.260964,0.097280,-0.001415,0.001954,0.015812
4998.127000,0.207068,-0.187443,-0.083836,-0.006247,0.007688,-0.001466
4998.131000,0.011314,-0.285816,0.090030,-0.000868,0.005701,0.006514
4998.133000,-0.125535,-0.240704,0.025930,-0.003747,0.000947,0.008842
4998.133000,-0.125535,-0.240704,0.025930,-0.003747,0.000947,0.008842
4998.137000,-0.231936,-0.065819,0.111576,-0.007360,-0.001268,0.006140
4998.139000,0.151705,-0.140439,-0.024281,-0.006971,0.005770,0.001943
4998.141000,0.206491,0.072040,-0.113812,-0.012725,0.002654,0.003573
4998.143000,-0.017252,0.173981,-0.016451,-0.012435,0.001586,0.007425
4998.145000,-0.344369,-0.072616,0.118121,-0.005907,-0.001111,0.011482
4998.147000,0.021244,-0.096912,0.060730,-0.006886,0.006887,0.005281
4998.149000,0.138635,-0.212392,-0.069575,-0.005056,0.007250,0.002409
4998.151000,-0.104586,-0.013114,0.031892,-0.008112,0.002069,0.007603
4998.153000,0.218092,-0.226727,-0.039208,-0.004781,0.008054,-0.002547
4998.155000,0.002854,-0.289385,0.085067,-0.006899,0.004594,0.001952
4998.157000,-0.143164,-0.121304,-0.041794,-0.006390,0.004204,0.007754
4998.159000,0.108895,-0.302224,0.033867,-0.000161,0.004436,0.001800
4998.161000,-0.250289,-0.143153,-0.022627,-0.004714,-0.000644,0.008538
4998.163000,0.297533,-0.247963,-0.119605,-0.004446,0.009335,-0.001112
4998.165000,0.198899,-0.212573,-0.143935,-0.003298,0.005060,0.004143
4998.167000,-0.300997,-0.094240,0.144064,-0.006965,-0.002904,0.014442
4998.169000,-0.125563,-0.215381,-0.012746,-0.004995,0.001246,0.008856
4998.171000,-0.102819,-0.309240,-0.102585,-0.000991,0.006225,0.004442
4998.173000,-0.048132,-0.027260,-0.088188,-0.007694,0.002548,0.007342
4998.175000,-0.232302,-0.002018,-0.138504,-0.010514,0.000358,0.010627
4998.177000,-0.347560,-0.015635,0.053634,-0.010768,-0.001274,0.013245
4998.179000,-0.182297,-0.140369,-0.059594,-0.005112,0.002065,0.009876
4998.181000,0.024024,-0.207007,0.007944,-0.004908,0.001838,0.001975
4998.183000,-0.423930,-0.123666,-0.044500,-0.008908,-0.002453,0.009582
4998.185000,-0.209851,-0.061309,-0.015910,-0.005388,0.002378,0.008544
4998.187000,-0.100682,-0.146994,-0.029048,-0.003901,0.002455,0.006394
4998.189000,-0.004307,-0.197945,0.041747,-0.002625,0.004069,0.007248
4998.191000,0.093864,0.194558,-0.033325,-0.014098,0.005015,0.004564
4998.193000,-0.183562,-0.183270,0.051777,-0.003241,0.000503,0.007654
4998.195000,0.017653,-0.090454,-0.094300,-0.004617,0.005968,0.005593
4998.197000,0.156698,-0.349461,0.012252,-0.002730,0.005218,0.001792
4998.199000,0.056229,-0.095548,-0.067733,-0.007440,0.003196,0.006367
4998.201000,0.102834,-0.104482,-0.011710,-0.003780,0.007666,0.006947
4998.203000,-0.131551,-0.265885,0.175786,-0.003490,0.003522,0.008208
4998.205000,-0.214010,0.035247,0.057154,-0.010278,-0.000478,0.009294
4998.209000,-0.207828,-0.257023,0.174826,0.000385,-0.000723,0.008194
4998.211000,-0.085247,0.069442,0.032423,-0.011690,0.002275,0.006464
4998.213000,0.127733,-0.297361,-0.009846,-0.002893,0.005612,0.004650
4998.215000,-0.065075,0.117042,-0.088651,-0.012556,0.003288,0.009706
4998.217000,-0.075482,0.115931,-0.161269,-0.017215,0.007653,0.001401
4998.219000,0.270602,0.101657,-0.053921,-0.011245,0.008424,0.000229
4998.221000,0.364133,-0.171092,0.018962,-0.007183,0.007098,-0.000521
4998.223000,-0.038111,-0.117275,-0.057214,-0.005295,0.003429,0.009376
4998.225000,0.475815,-0.123019,0.034105,-0.006736,0.011630,-0.000753
4998.227000,0.433779,-0.132629,-0.109262,-0.011679,0.009637,-0.004663
4998.229000,-0.201979,-0.171200,0.111651,-0.002554,0.000669,0.008851
4998.231000,0.229946,-0.120255,-0.010267,-0.006087,0.008542,0.001068
4998.233000,-0.516080,0.124506,0.086124,-0.008287,-0.003452,0.014179
4998.235000,0.381847,-0.051788,-0.138913,-0.010411,0.010403,-0.005903
4998.237000,0.026694,-0.359052,-0.014816,-0.000764,0.004085,0.004730
4998.239000,0.233726,0.055936,-0.062845,-0.011864,0.005582,0.001284
4998.241000,-0.076685,-0.081511,0.101803,-0.004745,0.001720,0.005429
4998.243000,-0.030092,-0.038295,-0.207857,-0.006866,0.004883,0.004272
4998.245000,0.370006,-0.115302,-0.163327,-0.010680,0.009417,-0.000127
4998.247000,-0.008523,-0.152966,0.018970,-0.006986,-0.000179,0.005355
4998.249000,-0.156753,0.014903,0.027290,-0.007855,0.002336,0.006183
4998.251000,-0.165768,-0.102275,0.097493,-0.004323,0.002040,0.012976
4998.253000,-0.154005,-0.020118,-0.021103,-0.006214,0.002124,0.012439
4998.255000,-0.440980,-0.164818,0.013868,-0.004662,-0.005447,0.007095
4998.257000,0.244561,-0.073530,-0.174705,-0.008466,0.007687,0.000964
4998.259000,0.337950,-0.131061,-0.104227,-0.010094,0.008017,-0.003295
4998.261000,-0.004738,0.042709,-0.151960,-0.009572,0.005319,0.007872
4998.263000,-0.455405,-0.214812,0.046535,-0.001038,-0.002596,0.015732
4998.265000,-0.649341,-0.085956,0.101481,-0.004376,-0.007772,0.017178
4998.267000,-0.020592,-0.100282,0.024296,-0.010596,0.007409,0.005904
4998.269000,0.007488,-0.303768,-0.024622,-0.006257,0.003611,0.004367
4998.271000,0.241638,-0.096642,-0.111170,-0.008124,0.009172,0.000944
4998.273000,0.160424,-0.010348,-0.029258,-0.011184,0.008056,0.003471
4998.275000,-0.259338,-0.114046,-0.123326,-0.008702,0.001236,0.010426
4998.277000,0.070904,-0.320461,-0.029301,-0.000854,0.004749,0.006310
4998.281000,0.142971,0.128000,-0.103303,-0.009960,0.007032,0.002807
4998.283000,-0.275777,-0.203473,0.021395,-0.004837,-0.003383,0.006821
4998.285000,0.068857,-0.098135,0.003216,-0.007526,0.002975,0.006288
4998.287000,-0.069326,-0.047357,0.121559,-0.010668,-0.000504,0.005574
4998.289000,0.356809,-0.055553,-0.167720,-0.011321,0.010274,-0.003703
4998.291000,0.395147,-0.009090,-0.178648,-0.010324,0.010144,-0.000211
4998.293000,-0.124971,-0.025730,0.243886,-0.007141,-0.003203,0.006662
4998.295000,0.410141,0.037118,-0.331719,-0.012646,0.016451,0.000274
4998.297000,0.178018,0.075402,-0.054399,-0.012420,0.009726,0.001453
4998.299000,0.127442,0.005814,-0.078778,-0.007503,0.002762,0.001929
4998.301000,0.115685,-0.234500,0.025240,-0.003929,0.005011,-0.000431
4998.303000,-0.338543,0.047185,0.160748,-0.006522,-0.003943,0.009639
4998.305000,0.136361,-0.080253,-0.028043,-0.009291,0.002271,0.000087
4998.307000,-0.193859,-0.195686,0.016824,-0.004804,-0.000882,0.004414
4998.309000,-0.006327,0.061934,0.064080,-0.009735,0.005975,0.005164
4998.311000,0.022779,-0.018144,-0.027375,-0.007522,0.003155,0.004995
4998.313000,0.115061,0.020439,-0.066274,-0.009988,0.005703,0.004150
4998.315000,0.398133,0.055074,-0.203645,-0.012230,0.012224,0.000398
4998.317000,0.148205,-0.108844,0.034153,-0.009471,0.006692,0.001192
4998.319000,0.039218,-0.087983,0.028940,-0.006025,0.006810,0.010901
4998.321000,-0.019783,0.065915,0.142101,-0.010633,0.000102,0.002376
4998.323000,-0.217570,0.189539,0.077143,-0.011486,-0.000991,0.008016
4998.325000,0.061881,-0.174122,-0.124061,-0.005918,0.008434,0.007052
4998.327000,0.123693,0.040760,-0.032118,-0.010817,0.005449,0.002634
4998.329000,0.097934,0.059867,-0.061278,-0.011148,0.003107,0.006086
4998.331000,0.040085,-0.048798,0.149509,-0.007023,0.000953,0.006118
4998.333000,-0.014125,-0.047994,-0.121935,-0.011894,0.003398,0.001903
4998.335000,-0.092343,-0.036289,-0.010934,-0.006755,0.004278,0.013977
4998.337000,-0.027553,0.064542,-0.110109,-0.010209,0.002392,0.004909
4998.339000,0.023322,-0.229338,-0.012716,-0.002913,0.006482,0.007358
4998.341000,0.118858,-0.044052,-0.168944,-0.010455,0.003768,0.003553
4998.343000,0.365917,-0.127272,-0.035117,-0.009001,0.006558,-0.003686
4998.345000,-0.055728,-0.014278,-0.117393,-0.010678,0.003894,0.004552
4998.347000,0.297176,-0.109402,-0.022489,-0.008816,0.007479,-0.002464
4998.349000,0.184806,-0.064820,-0.225919,-0.012360,0.006884,0.000551
4998.351000,0.121853,-0.335942,-0.097190,-0.000650,0.007939,0.006070
4998.353000,-0.128705,-0.088647,-0.101525,-0.008921,0.003807,0.007455
4998.357000,-0.148508,-0.008134,-0.019108,-0.007120,-0.000399,0.008035
4998.359000,-0.160974,-0.112253,0.140842,-0.001390,-0.000272,0.009381
4998.361000,-0.293334,-0.066642,0.074524,-0.004358,-0.001715,0.010653
4998.363000,0.014102,-0.291457,0.139741,-0.001548,0.002037,0.007620
4998.365000,0.175564,0.160240,-0.151981,-0.013385,0.008588,0.001013
4998.367000,0.202401,-0.025224,-0.054353,-0.010471,0.006128,-0.000967
4998.369000,-0.119753,0.029370,-0.033639,-0.008044,0.003953,0.007639
4998.371000,0.652359,0.007477,-0.245044,-0.013558,0.014236,-0.009350
4998.373000,0.105914,0.115866,-0.085556,-0.015153,0.004075,0.006346
4998.375000,-0.076050,-0.104382,0.016102,-0.004476,0.003418,0.008902
4998.377000,0.469194,0.005361,-0.124233,-0.010149,0.010598,-0.002578
4998.379000,0.236565,-0.153180,0.002147,-0.001326,0.009774,0.005674
4998.381000,0.008352,-0.051174,0.014649,-0.003816,0.004537,0.009260
4998.383000,-0.103705,0.045419,-0.072101,-0.010906,0.000242,0.006328
4998.385000,-0.148459,-0.040644,-0.145335,-0.008842,0.001706,0.009368
4998.387000,-0.013047,0.043623,-0.050451,-0.010717,0.004745,0.007761
4998.389000,0.078902,-0.184183,-0.021055,-0.005139,0.005759,0.006626
4998.391000,0.082976,-0.071908,0.078070,-0.003476,0.005284,0.006479
4998.393000,0.086305,0.050998,-0.073805,-0.010265,0.002999,0.004257
4998.395000,0.278545,-0.163227,-0.075174,-0.006339,0.004746,-0.004397
4998.397000,-0.090193,-0.013325,0.117317,-0.005706,-0.001167,0.002673
4998.399000,0.376121,-0.003473,-0.069614,-0.009694,0.010669,-0.000804
4998.401000,0.286485,0.021403,-0.035292,-0.009619,0.004928,0.000743
4998.403000,0.504273,0.019554,-0.252257,-0.014768,0.014864,-0.005946
4998.405000,0.382542,-0.053131,-0.178953,-0.012291,0.010898,-0.001425
4998.407000,0.008145,-0.061346,0.023829,-0.011090,0.002537,0.004828
4998.409000,0.144051,-0.166470,-0.013248,-0.006188,0.008485,-0.001661
4998.411000,-0.201690,-0.280264,0.071324,-0.000794,-0.000325,0.011877
