Lap Nr,Roi1,Roi1_x,Roi1_y,Roi1_w,Roi1_h
1253,,0,16,418,24
1254,,0,17,418,23
1255,,0,17,418,23
1256,,0,17,418,23
1257,,0,16,418,24
1258,,0,16,418,24
1259,,0,17,418,23
1260,,0,17,418,23
1261,,0,17,418,23
1262,,0,17,418,23
1263,,0,17,418,23
1264,,0,0,418,40
1265,,0,0,418,40
1266,,0,0,418,40
1267,,0,0,418,40
1268,,0,0,418,43
1269,,0,0,418,47
1270,,0,0,418,51
1271,,37,0,381,54
1272,,38,0,380,57
1273,,180,15,102,46
1274,,181,19,100,44
1275,,181,22,101,43
1276,,181,24,101,43
1277,,181,25,101,44
1278,,284,25,134,44
1279,,284,25,134,44
1280,,284,26,134,43
1281,,285,26,133,43
1282,,285,26,133,43
1283,,285,26,133,43
1284,,285,26,133,43
1285,,284,26,134,43
1286,,284,27,99,42
1287,,283,25,100,43
1288,,283,23,100,44
1289,,180,23,101,43
1290,,179,21,102,43
1291,,282,17,100,43
1292,,177,0,207,59
1293,,177,0,207,57
1294,,37,0,350,56
1295,,37,0,381,53
1296,,37,0,381,49
1297,,37,0,381,41
1298,,172,0,246,36
1299,,0,0,418,40
1300,,0,0,418,40
1301,,0,0,418,40
1302,,0,17,418,23
1303,,0,17,418,23
1304,,0,17,418,23
1305,,0,17,418,23
1306,,0,17,418,23
1307,,0,17,418,24
1308,,0,17,418,23
1309,,0,17,418,23
1310,,0,17,418,23
1311,,0,17,418,23
1312,,0,17,418,23
1313,,0,17,418,24
1314,,0,17,418,23
1315,,0,17,418,23
1316,,0,16,418,24
1317,,0,17,418,23
1318,,0,17,418,23
1319,,0,17,418,23
1320,,0,17,418,23
1321,,0,17,418,23
1322,,0,17,418,23
1323,,0,17,418,23
1324,,0,17,418,23
1325,,0,17,418,23
1326,,0,17,418,23
1327,,0,17,418,23
1328,,0,17,418,23
1329,,0,17,418,23
1330,,0,17,418,23
1331,,0,17,418,23
1332,,0,17,418,23
1333,,0,17,418,23
1334,,0,17,418,23
1335,,0,17,418,23
1336,,0,17,418,23
1337,,0,17,418,23
1338,,0,16,418,24
1339,,0,16,418,24
1340,,0,16,418,24
1341,,0,17,418,23
1342,,0,17,418,23
1343,,0,16,418,24
1344,,0,16,418,24
1345,,0,16,418,24
1346,,0,16,418,24
1347,,0,16,418,25
1348,,0,16,418,25
1349,,0,16,418,24
1350,,0,16,418,24
1351,,0,16,418,24
1352,,0,17,418,23
1353,,0,17,418,23
1354,,0,16,418,24
1355,,0,17,418,23
1356,,0,17,418,23
1357,,0,17,418,23
1358,,0,17,418,23
1359,,0,16,418,24
1360,,0,17,418,23
1361,,0,0,418,69
1362,,0,17,418,23
1363,,0,17,418,23
1364,,0,17,418,23
1365,,0,0,418,40
1366,,0,0,418,40
1367,,171,0,247,37
1368,,37,0,381,43
1369,,37,0,381,47
1370,,37,0,381,51
1371,,38,0,380,54
1372,,39,0,379,57
1373,,179,0,205,58
1374,,179,15,102,46
1375,,181,19,100,44
1376,,181,21,101,44
1377,,181,25,101,44
